date,symbol,timeframe,P1_bars,P2_bars,P3_bars,P4_bars,P5_bars,P6_bars,LFP,P1_vol,P2_vol,P3_vol,LFP_vol,source_csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,30.08333333333333,40.11111111111111,0.95380219154752,,,,,outputs/fourier/monthly/2022/08/FREQ_BTC_USD_2h_2022-08.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,87.25,69.8,31.727272727272727,0.8888834841887391,,,,,outputs/fourier/monthly/2022/09/FREQ_BTC_USD_2h_2022-09.csv
2h,BTC,USD,361.0,120.33333333333331,51.57142857142858,45.125,24.066666666666663,36.1,0.8413073591057552,,,,,outputs/fourier/monthly/2022/10/FREQ_BTC_USD_2h_2022-10.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,69.8,49.85714285714286,87.25,0.9423510416330731,,,,,outputs/fourier/monthly/2022/11/FREQ_BTC_USD_2h_2022-11.csv
2h,BTC,USD,349.0,116.33333333333331,87.25,69.8,174.5,34.9,0.943408331594294,,,,,outputs/fourier/monthly/2018/09/FREQ_BTC_USD_2h_2018-09.csv
2h,BTC,USD,180.5,361.0,120.33333333333331,90.25,72.2,60.16666666666666,0.8885819397471382,,,,,outputs/fourier/monthly/2022/12/FREQ_BTC_USD_2h_2022-12.csv
2h,BTC,USD,162.5,325.0,108.33333333333334,46.42857142857143,54.16666666666667,81.25,0.8951715212005642,,,,,outputs/fourier/monthly/2023/02/FREQ_BTC_USD_2h_2023-02.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,72.2,60.16666666666666,90.25,0.9636810532158484,,,,,outputs/fourier/monthly/2023/03/FREQ_BTC_USD_2h_2023-03.csv
2h,BTC,USD,174.5,349.0,87.25,116.33333333333331,49.85714285714286,29.08333333333333,0.9388344873281236,,,,,outputs/fourier/monthly/2023/04/FREQ_BTC_USD_2h_2023-04.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,51.57142857142858,90.25,30.08333333333333,0.8701487620540234,,,,,outputs/fourier/monthly/2023/05/FREQ_BTC_USD_2h_2023-05.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,58.16666666666666,49.85714285714286,43.625,0.9515528485655425,,,,,outputs/fourier/monthly/2023/06/FREQ_BTC_USD_2h_2023-06.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,36.1,40.11111111111111,0.7415862267539842,,,,,outputs/fourier/monthly/2023/07/FREQ_BTC_USD_2h_2023-07.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,45.125,0.9707929010694034,,,,,outputs/fourier/monthly/2023/08/FREQ_BTC_USD_2h_2023-08.csv
2h,BTC,USD,349.0,174.5,69.8,58.16666666666666,116.33333333333331,87.25,0.8513157307613274,,,,,outputs/fourier/monthly/2023/09/FREQ_BTC_USD_2h_2023-09.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,72.2,45.125,0.9717086741760111,,,,,outputs/fourier/monthly/2023/01/FREQ_BTC_USD_2h_2023-01.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,90.25,40.11111111111111,72.2,0.9247836066276636,,,,,outputs/fourier/monthly/2025/07/FREQ_BTC_USD_2h_2025-07.csv
2h,BTC,USD,361.0,180.5,120.33333333333331,36.1,30.08333333333333,60.16666666666666,0.9201872938917206,,,,,outputs/fourier/monthly/2018/08/FREQ_BTC_USD_2h_2018-08.csv
2h,BTC,USD,349.0,174.5,116.33333333333331,69.8,29.08333333333333,34.9,0.9191167182645226,,,,,outputs/fourier/monthly/2018/06/FREQ_BTC_USD_2h_2018-06.csv
2h,BTC,USD,349.0,87.25,69.8,174.5,49.85714285714286,58.16666666666666,0.8698530756949109,,,,,outputs/fourier/monthly/2013/06/FREQ_BTC_USD_2h_2013-06.csv
